스피커	ㅅㅡㅍㅣㅋㅓ	=확성기.
소고기	ㅅㅗㄱㅗㄱㅣ	=쇠고기.
공상	ㄱㅗㅇㅅㅏㅇ	나라에 특산물을 바치던 일. ≒공(貢) ·공진(貢進).
한방	ㅎㅏㄴㅂㅏㅇ	2. 한의(韓醫)의 처방.
고스트	ㄱㅗㅅㅡㅌㅡ	사진을 촬영할 때에, 햇빛과 같은 강한 광선이 렌즈의 표면에서 다중(多重) 반사를 일으켜 필름 면에 형성되는 원형의 상(像).
임상	ㅇㅣㅁㅅㅏㅇ	2. =임상 의학.
탐문	ㅌㅏㅁㅁㅜㄴ	알려지지 않은 사실이나 소식 따위를 알아내기 위하여 더듬어 찾아가서 들음.
재산	ㅈㅏㅣㅅㅏㄴ	동산, 부동산 외에 금전적 가치를 지니는 권리 및 의무의 총체. 적극적 재산인 자산 이외에 소극적 재산인 부채를 포함하는 경우도 있다.
차차차	ㅊㅏㅊㅏㅊㅏ	대중음악의 리듬 형식의 하나. 19세기 말에서 20세기 초까지 유행한 쿠바의 무곡 단손(danz□n)을 개조한 것으로, 1950년대 중반에 세계적으로 유행하였다.
의장	ㅇㅡㅣㅈㅏㅇ	합의체(合議體)를 대표하고, 그 합의체의 일을 맡아서 처리하는 직무를 맡은 사람.
해병	ㅎㅏㅣㅂㅕㅇ	1. 해병대의 병사. 2. =수병(水兵).
서비스	ㅅㅓㅂㅣㅅㅡ	4. =서브(serve).
오디오	ㅇㅗㄷㅣㅇㅗ	1. 라디오, 텔레비전, 전축 따위의 소리 부분. 2. 음악 따위를 효과적인 소리로 듣기 위한 장치를 통틀어 이르는 말.
소나무	ㅅㅗㄴㅏㅁㅜ	1. 소나뭇과의 모든 식물을 통틀어 이르는 말. ≒솔·송목(松木) ·송수(松樹). 2. 소나뭇과의 상록 침엽 교목. 높이는 35미터 정도이며, 잎은 두 잎이 모여나고 피침 모양이다. 꽃은 5월에 피고 열매는 구과(毬
탈락	ㅌㅏㄹㄹㅏㄱ	둘 이상의 음절이나 형태소가 서로 만날 때에 음절이나 음운이 없어지는 현상. '가+아서'가 '가서'로, '울+는'이 '우는'이 되는 것 따위이다.
회계	ㅎㅗㅣㄱㅕㅣ	관아에 석회를 공물로 바치던 계.
대량	ㄷㅏㅣㄹㅑㅇ	2. =대도(大度).
현장	ㅎㅕㄴㅈㅏㅇ	=현창(顯彰).
대함	ㄷㅏㅣㅎㅏㅁ	큰 군함.
천재	ㅊㅓㄴㅈㅏㅣ	2. 자기의 재능을 낮추어 이르는 말.
선박	ㅅㅓㄴㅂㅏㄱ	해상법에서, 상행위를 할 목적으로 물 위를 항해하는 구조물. 명칭, 국적, 선적항 따위를 가지며 본래는 동산이지만 부동산에 준하는 취급을 받는다.
계좌	ㄱㅕㅣㅈㅗㅏ	1. =계정계좌. 2. =예금 계좌.
정신	ㅈㅓㅇㅅㅣㄴ	삼정승의 자리에 있는 신하.
크로스	ㅋㅡㄹㅗㅅㅡ	=이종 교배.
복용	ㅂㅗㄱㅇㅛㅇ	거듭 사용함.
머저리	ㅁㅓㅈㅓㄹㅣ	=어리보기.
접촉	ㅈㅓㅂㅊㅗㄱ	촉매에 의하여 화학 반응을 일으키는 일.
마스크	ㅁㅏㅅㅡㅋㅡ	=방독면. 6. 야구나 펜싱 따위에서, 포수와 구심(球審)·선수들이 얼굴에 쓰는 방호구(防護具).
중단	ㅈㅜㅇㄷㅏㄴ	음력의 역(曆) 가운데 단에 적혀 있는 열두 글자. 건(建)·제(除)·만(滿)·평(平)·정(定)·집(執)·파(破)·위(危)·성(成)·납(納)·개(開)·폐(閉)로, 음양가가 이것을 맞추어서 길흉을 판단한다.
해결	ㅎㅏㅣㄱㅕㄹ	안어울림음을 어울림으로 이끎. 또는 그런 일.
검정	ㄱㅓㅁㅈㅓㅇ	잘 조사하여 바르게 하는 일.
설정	ㅅㅓㄹㅈㅓㅇ	=눈길.
법안	ㅂㅓㅂㅇㅏㄴ	궁중의 관리들이 타는 말에 얹던 안장.
전면	ㅈㅓㄴㅁㅕㄴ	1. 눈알을 굴려서 봄. 2. 눈알을 굴리는 잠깐 사이.
클릭	ㅋㅡㄹㄹㅣㄱ	마우스의 단추를 누름. 또는 그런 행위.
제발	ㅈㅓㅣㅂㅏㄹ	1. 일제히 길을 출발함. 2. 총이나 활을 일제히 쏨.
상태	ㅅㅏㅇㅌㅏㅣ	자연현상의 관측에 의하여 가능한 한 완전히 기술된 계(系)의 존재 상황. 예를 들면 열역학적 상태, 에너지 상태 따위가 있다.
작성	ㅈㅏㄱㅅㅓㅇ	=작어(鵲語).
진탕	ㅈㅣㄴㅌㅏㅇ	몹시 울려서 뒤흔들림.
대개	ㄷㅏㅣㄱㅏㅣ	크게 엶.
과학	ㄱㅗㅏㅎㅏㄱ	보편적인 진리나 법칙의 발견을 목적으로 한 체계적인 지식. 넓은 뜻으로는 학(學)을 이르고, 좁은 뜻으로는 자연 과학을 이른다.
해선	ㅎㅏㅣㅅㅓㄴ	배의 밧줄을 푼다는 뜻으로, 배가 출범함을 이르는 말.
마우스	ㅁㅏㅇㅜㅅㅡ	컴퓨터 입력 장치의 하나. 책상 위 따위에서 움직이면 그에 따라 화면에 나타난 커서(cursor)가 움직이며, 위에 있는 버튼을 눌러 명령어를 선택하거나 프로그램을 실행한다.
정할	ㅈㅓㅇㅎㅏㄹ	'시컨트'의 전 용어.
경계	ㄱㅕㅇㄱㅕㅣ	1. 걸핏하면 잘 놀라고 가슴이 두근거리는 증상. ≒경계증 . 2. 놀란 것처럼 가슴이 두근거리는 증상. ≒경계증 .
산악	ㅅㅏㄴㅇㅏㄱ	중국에서 예로부터 있어 온 속악.
슬픔	ㅅㅡㄹㅍㅡㅁ	정신적 고통이 지속되는 일.【＜슬품≪동국신속삼강행실도(1617)≫←슳-+-브-+-움】
반란	ㅂㅏㄴㄹㅏㄴ	천연두가 곪아 터져서 문드러짐.
외계	ㅇㅗㅣㄱㅕㅣ	인간의 마음이나 자아에 독립하여 존재하는 일체의 실재를 통틀어 이르는 말.
제약	ㅈㅓㅣㅇㅑㄱ	약재를 섞어서 약을 만듦. 또는 그 약.
물질	ㅁㅜㄹㅈㅣㄹ	감각의 원천이 되는 것. 의식으로부터 독립된 객관적 실재로서, 시간과 공간은 그 객관적인 존재 형식이며, 운동은 그 속성이다.
중위	ㅈㅜㅇㅇㅜㅣ	여러 겹으로 에워쌈.
동성	ㄷㅗㅇㅅㅓㅇ	구리로 만든 별 모양의 기장(記章).
대면	ㄷㅏㅣㅁㅕㄴ	다면체에서 서로 대하고 있는 면. ≒맞면.
진상	ㅈㅣㄴㅅㅏㅇ	일의 사정이나 상황을 말함.
제법	ㅈㅓㅣㅂㅓㅂ	=나눗셈법.
흉골	ㅎㅠㅇㄱㅗㄹ	=가슴뼈.
영혼	ㅇㅕㅇㅎㅗㄴ	육체 밖에 따로 있다고 생각되는 정신적 실체. ≒영가(靈駕)·영각(靈覺).
장갑	ㅈㅏㅇㄱㅏㅂ	1. 갑옷을 입고 투구를 갖춤. 2. 적의 총포탄을 막기 위하여 배나 차 따위에 특수한 강철판을 덧쌈. 또는 그 강철판.
술탄	ㅅㅜㄹㅌㅏㄴ	1. 이슬람교국의 군주. 후에 오스만 제국의 황제를 이르기도 하였다. 2. 이슬람 세계에서, 성속(聖俗)의 지배자를 이르는 말.
벌컨	ㅂㅓㄹㅋㅓㄴ	수성(水星) 궤도의 안쪽에 궤도를 가진 천체. 가설상의 행성으로, 1859년부터 수년 동안 연구되었으나 현재는 그 존재가 부정되고 있다.
나누기	ㄴㅏㄴㅜㄱㅣ	나눗셈을 함. ≒제하기(除─).
예약	ㅇㅕㅣㅇㅑㄱ	앞으로 일정한 계약을 맺을 것을 미리 약속하여 두는 계약.
전속	ㅈㅓㄴㅅㅗㄱ	=전기력선속.
장벽	ㅈㅏㅇㅂㅕㄱ	개체나 개체군의 이주·이동을 제한하는 물리적·생물적 요인.
젤리	ㅈㅓㅣㄹㄹㅣ	콜로이드 용액이 그 분산매(分散媒)를 함유한 채 반고체상으로 굳어진 것.
화신	ㅎㅗㅏㅅㅣㄴ	1. 꽃을 관장하는 신. 2. 꽃의 정기.
찬성	ㅊㅏㄴㅅㅓㅇ	2. 어떤 일을 도와서 이루어지도록 함.
